data;trilho;prefixo;servico;tipo;origem;destino;inicio;fim
21/05/2026;RSD MG [QNT];9922.F;25203030;NORMAL;QNT;JDF;07:00;11:00
21/05/2026;RSD MG [QNT];9922.F;25203075;NORMAL;GJF;QNT;17:30;21:30
21/05/2026;RSD MG [QNT];9922.F;25203099;NORMAL;RIO;JDF;23:00;03:00
21/05/2026;RSD MG [BHZ];9725.F;25203125;NORMAL;BHZ;QNT;10:00;16:00
21/05/2026;RSD MG [BHZ];9725.F;25203030;NORMAL;GYN;JDF;20:30;02:30
21/05/2026;RSD MG [RIO];9723.F;25203080;NORMAL;RIO;BHZ;15:15;21:15
21/05/2026;RSD MG [RIO];9723.F;25203125;NORMAL;TJK;RIO;21:00;03:00
21/05/2026;CAMA TAG [BSB];20202.F;25202870;NORMAL;TAG;XPT;14:00;20:00
21/05/2026;CAMA TAG [BSB];20202.F;25203465;NORMAL;SJK;BSB;20:00;02:00
21/05/2026;DD56 MG [SJK];13527.F;25203105;NORMAL;SJK;QNT;07:30;13:30
21/05/2026;DD56 MG [SJK];13527.F;MAN-4412;MANUTENCAO;GCE;GCE;14:00;16:00
21/05/2026;DD56 MG [SJK];13527.F;25203050;NORMAL;RIO;SJK;17:15;23:15
21/05/2026;LT43 GYN [APS];15401.F;15401111;NORMAL;APS;SAO;04:00;14:00
21/05/2026;LT43 GYN [APS];15401.F;25302990;NORMAL;QCV;APS;22:00;08:00
21/05/2026;LT43 VLA [RIO];15107.F;25453511;NORMAL;GIG;VLA;03:25;13:25
21/05/2026;LT43 VLA [RIO];15107.F;25403020;NORMAL;RDF;BMA;19:00;05:00
21/05/2026;RSD MG [BSB];9726.F;25203550;NORMAL;GYN;GMA;07:30;13:30
21/05/2026;RSD MG [BSB];9726.F;25202865;NORMAL;BSB;GYN;18:00;00:00
21/05/2026;LT43 SAO [QCV];15402.F;25203600;NORMAL;SAO;;21:30;
